node	mean	hpd_lower	hpd_upper
67	683.12	637.18	738.35
68	660.13	625.71	701.87
69	624.86	607.42	646.88
70	594.14	590.37	598.43
71	591.28	588.04	594.96
72	587.67	584.37	591.09
73	583.73	580.04	587.45
74	573.3	568.55	577.81
75	569.8	565.01	574.43
76	562.02	557.25	566.69
77	558.18	553.55	562.84
78	550.49	546.26	555.05
79	528.81	514.6	539.46
80	519.3	498.56	537.13
81	485.49	408.84	532.26
82	388.27	170.18	516.79
83	540.9	537.64	544.63
84	533.37	531.96	536.08
85	513.12	491.02	527.9
86	443.13	184.25	527.14
87	547.53	539.45	555.51
88	449.95	239.49	536.74
89	221.31	28.11	426.91
90	556.39	551.86	561.35
91	551.41	546.72	556.32
92	543.6	538.9	548.37
93	533.75	530	536.95
94	529.89	526.74	532.31
95	515.87	513.97	518.89
96	502.36	496.97	507.88
97	480.8	463.45	496.55
98	421.92	404.84	441.73
99	386.43	345.65	415.25
100	521.8	513.89	528.44
101	477.13	439.04	507.52
102	565.57	560.56	570.55
103	559.53	553.68	565.44
104	548.39	539.41	556.8
105	506.03	496.86	518.51
106	458.07	445.29	469.25
107	427.97	420.66	439.76
108	348.96	344.1	351.96
109	320.56	317.97	325.23
110	225.29	177.33	256.8
111	104.97	65.68	151.43
112	451.22	378.51	499.46
113	349.07	126.03	515.27
114	552.86	545.39	559.86
115	520.46	508.96	534.69
116	501.55	470.24	531.85
117	515.89	504.4	531.06
118	561.38	553.08	571.16
119	570.07	561.59	577.01
120	425.16	177.81	561.29
121	284.59	77.31	514.65
122	308.28	87.08	515.6
123	218.99	29.83	417.75
124	158.92	16.4	338.89
125	543.88	515.58	568.1
126	502.61	277.79	605.72
127	338.51	112.87	542.01
128	422.74	155.13	624.22
129	362.87	127.31	572.25
130	154.87	17.41	336.85
131	277.48	71.01	499.41